kanji,num,meanings,radicals,kanji_in_theme_meaning,theme,subtheme
磁,822,magnet:porcelain,口幺石丷,porcelain,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
餌,823,food:bait:prey:tempting profit,耳艮食,,,
璽,824,emperor's seal,｜八冂爻玉,,,
鹿,825,deer,广比,deer,Nature,Animals
式,826,style:ceremony:rite:function:method:system:form:expression,工弋,,,
識,827,discriminating:know:write,戈日立言音,,,
軸,828,axis:pivot:stem:stalk:counter for book scrolls,｜日田車,axle,Artificial_Structures_and_Products,Vehicles_and_Machines
七,829,seven,丿乙匕,7,Numbers,
𠮟,830,,,,,
失,831,lose:error:fault:disadvantage:loss,丿二人大,,,
室,832,room:apartment:chamber:greenhouse:cellar,厶土宀至,,,
疾,833,rapidly,疒矢,disease,Body,Health
執,834,tenacious:take hold:grasp:take to heart,丶丿亠十土立辛九,,,
湿,835,damp:wet:moist,｜日氵,damp,Physical_Attributes_and_Properties,Miscellaneous_properties
嫉,836,jealous:envy,女疒矢,"envy, jealousy",Emotions_and_Senses,Emotions
漆,837,lacquer:varnish:seven,木水个氵,lacquer,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
質,838,substance:quality:matter:temperament,斤貝,,,
実,839,reality:truth,士大宀,fruit,Food_and_Drink,
芝,840,turf:lawn,亠艹,,,
写,841,copy:be photographed:describe,冖勹,,,
社,842,company:firm:office:association:shrine,土礻,Shinto shrine,Human_activities,Religion_and_the_Supernatural_World
車,843,car,,,,
舎,844,cottage:inn:hut:house:mansion,口土个,,,
者,845,someone:person,日老,person (usually with qualifier),People,General
射,846,shoot:shine into:onto:archery,寸身,shoot at,Human_activities,War
捨,847,discard:throw away:abandon:resign:reject:sacrifice,口土个扌,,,
赦,848,pardon:forgiveness,土攴赤,,,
斜,849,diagonal:slanting:oblique,斗禾个,diagonal,Physical_Attributes_and_Properties,Form_and_Shape
煮,850,boil:cook,日老灬,,,
遮,851,intercept:interrupt:obstruct,广辶灬,,,
謝,852,apologize:thank:refuse,寸言身,,,
邪,853,wicked:injustice:wrong,牙.阝,,,
蛇,854,snake:serpent:hard drinker,匕宀虫,snake,Nature,Animals
尺,855,shaku:Japanese foot:measure:scale:rule,丶尸,Japanese foot (around 30 cm),Numbers,Units_of_Measurement
借,856,borrow:rent,日亻,,,
酌,857,bar-tending:serving sake:the host:draw (water):ladle:scoop:pump,丶勹酉,to serve alcohol,Food_and_Drink,Cooking
釈,858,explanation,丶尸米釆,,,
爵,859,baron:peerage:court rank,寸爪网艮,noble rank,People,Roles_and_status
若,860,young:if:perhaps:possibly:low number:immature,丿口艹,young,Time,
弱,861,weak:frail,冫弓,weak,Physical_Attributes_and_Properties,Miscellaneous_properties
寂,862,loneliness:quietly:mellow:mature:death of a priest,卜又宀小,loneliness,Emotions_and_Senses,Emotions
手,863,hand,,hand,Body,Limbs
主,864,lord:chief:master:main thing:principal,丶玉,master or husband,People,Roles_and_status
守,865,guard:protect:defend:obey,宀寸,,,
朱,866,vermilion:cinnabar:scarlet:red:bloody,｜丿二八木牛,vermilion,Physical_Attributes_and_Properties,Colours
取,867,take:fetch:take up,又耳,,,
狩,868,hunt:raid:gather,宀寸犭,,,
首,869,neck:counter for songs and poems,目自丷,,,
殊,870,particularly:especially:exceptionally,｜丿二八木歹牛,,,
珠,871,pearl:gem:jewel,｜丿二八木牛玉,pearl or jewel,Nature,Natural_Substances
酒,872,sake:alcohol,酉氵,alcoholic drink,Food_and_Drink,
腫,873,tumor:swelling,｜日月里,,,
種,874,species:kind:class:variety:seed,｜日禾里,,,
趣,875,purport:gist:elegance:interest:proceed to:tend:become,又土耳走,,,
寿,876,longevity:congratulations:one's natural life,丿二寸,,,
受,877,accept:undergo:answer (phone):take:get:catch:receive,冖又爪,,,
呪,878,spell:curse:charm:malediction,儿口,,,
授,879,impart:instruct:grant:confer,冖又爪扌,,,
需,880,demand:request:need,而雨,,,
儒,881,Confucian,而雨亻,Confucianism,Human_activities,Culture
樹,882,timber:trees:wood:establish:set up,口土寸木豆丷,,,
収,883,income:obtain:reap:pay:supply:store,｜又,,,
囚,884,captured:criminal:arrest:catch,人囗,,,
州,885,state:province,｜丶巛,,,
舟,886,boat:ship,,boat,Artificial_Structures_and_Products,Vehicles_and_Machines
秀,887,excel:excellence:beauty:surpass,禾乃,,,
周,888,circumference:circuit:lap,冂口土,perimeter,Physical_Attributes_and_Properties,Form_and_Shape
宗,889,religion:sect:denomination:main point:origin:essence,宀示,,,
拾,890,pick up:gather:find:go on foot:ten,口个扌,,,
秋,891,autumn,火禾,Autumn,Time,Seasons
臭,892,stinking:ill-smelling:suspicious looking:odor:savor:fragrance:be fragrant:stink:glow:be bright,大自,bad smell,Emotions_and_Senses,Senses
修,893,discipline:conduct oneself well:study:master,｜彡攴亻,,,
袖,894,sleeve:wing (building):extension:give cold shoulder,｜田衤,sleeve,Artificial_Structures_and_Products,Clothing_and_Textiles
終,895,end:finish,夂糸,end,Time,
羞,896,feel ashamed,丿彐玉羊丷,shame,Emotions_and_Senses,Emotions
習,897,learn,冫白羽,,,
週,898,week,冂口土辶,week,Time,Divisions_of_the_Year
就,899,concerning:settle:take position:depart:study:per,丶亠口小尢尤,,,
衆,900,masses:great numbers:multitude:populace,皿血,,,
集,901,gather:meet:congregate:swarm:flock,木隹,,,
愁,902,distress:grieve:lament:be anxious,心火禾,melancholy,Emotions_and_Senses,Emotions
酬,903,repay:reward:retribution,｜丶巛酉,,,
醜,904,ugly:unclean:shame:bad looking,儿匕田酉鬼,,,
蹴,905,kick,丶丿乙亠口小尢足尤,,,
襲,906,attack:advance on:succeed to:pile:heap,月立衣,raid,Human_activities,War
十,907,ten,,10,Numbers,
汁,908,soup:juice:broth:sap:gravy:pus,十氵,"juice, soup",Food_and_Drink,
充,909,allot:fill,亠儿厶,,,
住,910,dwell:reside:live:inhabit,丶玉亻,,,
柔,911,tender:weakness:gentleness:softness,木矛マ,,,
重,912,heavy:important:esteem:respect:heap up:pile up:nest of boxes:-fold,｜丿日里,heavy,Physical_Attributes_and_Properties,Miscellaneous_properties
従,913,accompany:obey:submit to:comply:follow:secondary:incidental:subordinate,彳疋丷,,,
渋,914,astringent:hesitate:reluctant:have diarrhea,冫止氵,,,
銃,915,gun:arms,亠儿厶金,,,
獣,916,animal:beast,口犬田尚,,,
縦,917,vertical:length:height:self-indulgent:wayward,彳疋糸丷,,,
叔,918,uncle:youth,卜又小,"aunt, uncle",People,Family
祝,919,celebrate:congratulate,儿口礻,,,
宿,920,inn:lodging:relay station:dwell:lodge:be pregnant:home:dwelling,宀白亻,,,
淑,921,graceful:gentle:pure,卜又小氵,,,
粛,922,solemn:quietly:softly,｜丿彐水米隶,,,
縮,923,shrink:contract:shrivel:wrinkle:reduce,宀白糸亻,"to reduce, shrink",Numbers,Calculations
塾,924,cram school:private school,丶亠口土子九,private school,Human_activities,Culture
熟,925,mellow:ripen:mature:acquire skill,丶亠口子九灬,,,
出,926,exit:leave:go out:come out:put out:protrude,｜山,out,Directions_and_Spatial_Relationships,
述,927,mention:state:speak:relate,丶十木辶,,,
術,928,art:technique:skill:means:trick:resources:magic,丶十彳木行,,,
俊,929,sagacious:genius:excellence,儿厶夂亻,,,
春,930,springtime:spring (season),丿二日,Spring,Time,Seasons
瞬,931,wink:blink:twinkle,冖夕爪牛目舛,,,
旬,932,decameron:ten-day period:season (for specific products),勹日,period of 10 days,Time,Divisions_of_the_Year
巡,933,patrol:go around:circumference,巛辶,,,
盾,934,shield:escutcheon:pretext,十厂斤目,,,
准,935,quasi-:semi-:associate,冫隹,,,
殉,936,martyrdom:follow by resigning,勹日歹,,,
純,937,genuine:purity:innocence:net (profit),糸屯,,,
循,938,sequential:follow,十厂彳斤目,,,
順,939,obey:order:turn:right:docility:occasion,巛貝頁,sequence,Numbers,Counting_&_Sequence
準,940,semi-:correspond to:proportionate to:conform:imitate,十隹氵,,,
潤,941,wet:be watered:profit by:receive benefits:favor:charm:steep,玉門氵,moist,Physical_Attributes_and_Properties,Miscellaneous_properties
遵,942,abide by:follow:obey:learn,寸酉丷辶,,,
処,943,dispose:manage:deal with:sentence:condemn:act:behave:place,几夂攴,,,
初,944,first time:beginning,刀衤,first,Numbers,Counting_&_Sequence
所,945,place:extent,戸斤,,,
書,946,write,日聿,write,Human_activities,Language_and_Communication
庶,947,commoner:all:bastard,广灬,,,
暑,948,sultry:hot:summer heat,日老,hot,Physical_Attributes_and_Properties,Miscellaneous_properties
署,949,signature:govt office:police station,日网老,,,
緒,950,thong:beginning:inception:end:cord:strap:mental or emotional state,日糸老,,,
諸,951,various:many:several:together,日老言,,,
女,952,woman:female,,woman,People,General
如,953,likeness:like:such as:as if:better:best:equal,口女,,,
助,954,help:rescue:assist,力目,,,
序,955,preface:beginning:order:precedence:occasion:chance:incidentally,亅子广,,,
叙,956,confer:relate:narrate:describe,又禾个,,,
徐,957,gradually:slowly:deliberately:gently,彳禾个,,,
除,958,exclude:division (x/3):remove:abolish:cancel:except,禾个阝.,to divide,Numbers,Calculations
小,959,little:small,,small,Physical_Attributes_and_Properties,Form_and_Shape
升,960,measuring box:1.8 liter,丿十廾,(around 1.8 L),Numbers,Units_of_Measurement
少,961,few:little,丿小,few,Numbers,Counting_&_Sequence
召,962,seduce:call:send for:wear:put on:ride in:buy:eat:drink:catch (cold),刀口,,,
匠,963,artisan:workman:carpenter,匚斤,,,
床,964,bed:counter for beds:floor:padding:tatami,广木,bed,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
抄,965,extract:selection:summary:copy:spread thin,丿小扌,,,
肖,966,resemblance,月尚,,,
尚,967,esteem:furthermore:still:yet,冂口,,,
招,968,beckon:invite:summon:engage,刀口扌,,,
承,969,acquiesce:hear:listen to:be informed:receive,丿亅二手マ,,,
昇,970,rise up,丿十廾日,,,
松,971,pine tree,八厶木,pine,Nature,Plants_and_Trees
沼,972,marsh:lake:bog:swamp:pond,刀口氵,marsh,Nature,Land_and_Topography
昭,973,shining:bright,刀口日,,,
宵,974,wee hours:evening:early night,宀月尚,early evening,Time,Divisions_of_the_Day
将,975,leader:commander:general:admiral:or:and again:soon:from now on:just about,寸爪爿,,,
消,976,extinguish:blow out:turn off:neutralize:cancel,月尚氵,,,
症,977,symptoms:illness,止疒,disease,Body,Health
祥,978,auspicious:happiness:blessedness:good omen:good fortune,玉羊丷礻,,,
称,979,appellation:praise:admire:name:title:fame,丿小禾,,,
笑,980,laugh,大禾竹,laughter,Emotions_and_Senses,Emotions
唱,981,chant:recite:call upon:yell,口日,,,
商,982,make a deal:selling:dealing in:merchant,亠儿冂口立丷,trade,Human_activities,Money_and_Commerce
渉,983,ford:go cross:transit:ferry:import:involve,丿小止氵,,,
章,984,badge:chapter:composition:poem:design,十日立音,,,
紹,985,introduce:inherit:help,刀口糸,,,
訟,986,sue:accuse,八厶言,,,
勝,987,victory:win:prevail:excel,二人力大月丷,,,
掌,988,manipulate:rule:administer:conduct:palm of hand,冖口手尚,palm,Body,Limbs
晶,989,sparkle:clear:crystal,日,crystal,Nature,Natural_Substances
焼,990,bake:burning,儿十火,to bake,Food_and_Drink,Cooking
焦,991,char:hurry:impatient:irritate:burn:scorch:singe,隹灬,,,
硝,992,nitrate:saltpeter,口月石尚,,,
粧,993,cosmetics:adorn (one's person),土广米,,,
詔,994,imperial edict,刀口言,,,
証,995,evidence:proof:certificate,止言,,,
象,996,elephant:pattern after:imitate:image:shape:sign (of the times),勹口豕,elephant,Nature,Animals
傷,997,wound:hurt:injure:impair:pain:injury:cut:gash:scar:weak point,丿日亻勿,wound,Body,Health
奨,998,exhort:urge:encourage,大寸爪爿,,,
照,999,illuminate:shine:compare:bashful,刀口日灬,,,
詳,1000,detailed:full:minute:accurate:well-informed,玉羊言丷,,,
彰,1001,patent:clear,十彡日立音,,,
障,1002,hinder:hurt:harm,十日立音阝.,,,
憧,1003,yearn after:long for:aspire to:admire:adore,立里忄,"longing, yearning",Emotions_and_Senses,Emotions
衝,1004,collide:brunt:highway:opposition (astronomy):thrust:pierce:stab:prick,｜彳日行里,,,
賞,1005,prize:reward:praise,冖口貝尚,,,
償,1006,reparation:make up for:recompense:redeem,冖口貝亻尚,recompense,Human_activities,Money_and_Commerce
礁,1007,reef:sunken rock,口石隹灬,reef,Nature,Land_and_Topography
鐘,1008,bell:gong:chimes,立里金,bell,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
上,1009,above:up,卜,up,Directions_and_Spatial_Relationships,
丈,1010,length:ten shaku:measure:Mr.:Ms.:height:stature:all (one has):only:that's all:merely,丶丿,,,
冗,1011,superfluous:uselessness,冖几,,,
条,1012,article:clause:item:stripe:streak,夂攴木,,,
状,1013,status quo:conditions:circumstances:form:appearance,爿犬,,,
乗,1014,ride:power:multiplication:record:counter for vehicles:board:mount:join,｜丿八禾,to ride,Artificial_Structures_and_Products,Vehicles_and_Machines
城,1015,castle,丿土戈,,,
浄,1016,clean:purify:cleanse:exorcise:Manchu Dynasty,亅勹彐氵,clean,Physical_Attributes_and_Properties,Miscellaneous_properties
剰,1017,surplus:besides,｜丿刂,,,
常,1018,usual:ordinary:normal:common:regular:continually:always:long-lasting,冖口巾尚,,,
情,1019,feelings:emotion:passion:sympathy:circumstances:facts,二亠土月青忄,,,
場,1020,location:place,土日勿,,,
畳,1021,tatami mat:counter for tatami mats:fold:shut up:do away with,冖田,tatami mat,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
蒸,1022,steam:heat:sultry:foment:get musty,丿亅マ艹灬,to steam,Food_and_Drink,Cooking
縄,1023,straw rope:cord,乙田糸龜,rope,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
壌,1024,lot:earth:soil,亠八土衣,fertile soil,Nature,Land_and_Topography
嬢,1025,lass:girl:Miss:daughter,亠八女衣,young lady,People,General
錠,1026,lock:fetters:shackles,宀疋金,lock,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
譲,1027,defer:turnover:transfer:convey,亠八衣言,,,
醸,1028,brew:cause,亠八衣酉,to brew,Food_and_Drink,Cooking
色,1029,color,勹巴,,,
拭,1030,wipe:mop:swab,工弋扌,,,
食,1031,eat:food,,eclipse,Nature,Sky
植,1032,plant,十木目,,,
殖,1033,augment:increase:multiply:raise,十歹目,to increase,Numbers,Calculations
飾,1034,decorate:ornament:adorn:embellish,丿巾食,,,
触,1035,contact:touch:feel:hit:proclaim:announce:conflict,虫角,,,
嘱,1036,entrust:request:send a message,口尸禸,,,
織,1037,weave:fabric,戈日立糸音,to weave,Artificial_Structures_and_Products,Clothing_and_Textiles
職,1038,post:employment:work,戈日立耳音,employment,Human_activities,Money_and_Commerce
辱,1039,embarrass:humiliate:shame,厂寸衣辰,,,
尻,1040,buttocks:hips:butt:rear,尸九,buttocks,Body,Limbs
心,1041,heart:mind:spirit:heart radical (no. 61),,heart,Body,Torso_and_organs
申,1042,have the honor to:sign of the monkey:3-5PM:ninth sign of Chinese zodiac,｜日田,,,
伸,1043,expand:stretch:extend:lengthen:increase,｜日田亻,,,
臣,1044,retainer:subject,匚,,,
芯,1045,wick,心艹,,,
身,1046,somebody:person:one's station in life,,,,
辛,1047,spicy:bitter:hot:acrid,十立,pungent,Emotions_and_Senses,Senses
侵,1048,encroach:invade:raid:trespass:violate,冖又彐亻,,,
信,1049,faith:truth:fidelity:trust,言亻,message,Human_activities,Language_and_Communication
津,1050,haven:port:harbor:ferry,聿氵,,,
神,1051,gods:mind:soul,｜日田礻,god or [kami],Human_activities,Religion_and_the_Supernatural_World
唇,1052,lips,厂口衣辰,lips,Body,Head_and_Neck
娠,1053,with child:pregnancy,厂女衣辰,pregnant,Body,Bodily_Functions
振,1054,shake:wave:wag:swing,厂衣辰扌,,,
浸,1055,immersed:soak:dip:steep:moisten:wet:dunk,冖又彐氵,,,
真,1056,true:reality:Buddhist sect,八十目,,,
針,1057,needle:pin:staple:stinger,十金,needle,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
深,1058,deep:heighten:intensify:strengthen,儿冖木氵,deep,Physical_Attributes_and_Properties,Miscellaneous_properties
紳,1059,sire:good belt:gentleman,｜日田糸,gentleman,People,Roles_and_status
進,1060,advance:proceed:progress:promote,隹辶,,,
森,1061,forest:woods,木,forest,Nature,Plants_and_Trees
診,1062,checkup:seeing:diagnose:examine,彡言个,,,
寝,1063,lie down:sleep:rest:bed:remain unsold,冖又宀彐爿,sleep,Body,Bodily_Functions
慎,1064,humility:be careful:discreet:prudent,八十目忄,,,
新,1065,new,亠十斤木立辛丷,new,Time,
審,1066,hearing:judge:trial,宀田米釆,,,
震,1067,quake:shake:tremble:quiver:shiver,厂衣辰雨,earthquake,Nature,Weather
薪,1068,fuel:firewood:kindling,亠十斤木立辛丷艹,,,
親,1069,parent:intimacy:relative:familiarity:dealer (cards),亠十木立見辛丷,parent,People,Family
人,1070,person,,counter for people,Numbers,Counters
刃,1071,blade:sword:edge,丶刀,,,
仁,1072,humanity:virtue:benevolence:charity:man:kernel,二亻,,,
尽,1073,exhaust:use up:run out of:deplete:befriend:serve,丶尸,,,
迅,1074,swift:fast,十辶,,,
甚,1075,tremendously:very:great:exceedingly,儿甘,,,
陣,1076,camp:battle array:ranks:position:sudden:brief time,車阝.,"battle formation, camp",Human_activities,War
尋,1077,inquire:fathom:look for,口寸工彐,,,
腎,1078,kidney,又月臣,kidney,Body,Torso_and_organs
須,1079,ought:by all means:necessarily,彡貝頁,,,
図,1080,map:drawing:plan:extraordinary:audacious,囗斗,"map, diagram",Human_activities,Language_and_Communication
水,1081,water,,water,Nature,Natural_Substances
吹,1082,blow:breathe:puff:emit:smoke,口欠,,,
垂,1083,droop:suspend:hang:slouch,｜丿,,,
炊,1084,cook:boil,欠火,,,
帥,1085,commander:leading troops:governor,｜口巾,,,
粋,1086,chic:style:purity:essence:pith:cream:elite:choice,十米九,,,
衰,1087,decline:wane:weaken,亠衣,,,
推,1088,conjecture:infer:guess:suppose:support:push (for),隹扌,,,
酔,1089,drunk:feel sick:poisoned:elated:spellbound,十酉九,,,
遂,1090,consummate:accomplish:attain:commit (suicide),豕丷辶,,,
睡,1091,drowsy:sleep:die,｜丿目,sleep,Body,Bodily_Functions
穂,1092,ear:ear (grain):head:crest (wave),十心田禾,ear of grain,Food_and_Drink,
随,1093,follow:though:notwithstanding:while:during:both:all:obey:submit to:comply:at the mercy of (the waves),丿月辶阝.,,,
髄,1094,marrow:pith:essence,丿冖月骨辶,marrow,Body,Body_General
枢,1095,hinge:pivot:door,匚木,hinge or pivot,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
崇,1096,adore:respect:revere:worship,宀山示,adoration or reverence,Emotions_and_Senses,Emotions
数,1097,number:strength:fate:law:figures,夂女攴米,,,
据,1098,set:lay a foundation:install:equip:squat down:sit down,十口尸扌,,,
杉,1099,cedar:cryptomeria,彡木,cedar,Nature,Plants_and_Trees
裾,1100,cuff:hem:foot of mountain,十口尸衤,cuff or hem,Artificial_Structures_and_Products,Clothing_and_Textiles
寸,1101,measurement:tenth of a shaku:a little:small,,1/10 Japanese foot (around 3 cm),Numbers,Units_of_Measurement
瀬,1102,rapids:current:torrent:shallows:shoal,｜貝頁氵,rapids or shallows,Nature,Land_and_Topography
是,1103,just so:this:right:justice,日疋,,,
井,1104,well:well crib:town:community,｜丿二,,,
世,1105,generation:world:society:public,｜,,,
正,1106,correct:justice:righteous:10**40,止,correct,Emotions_and_Senses,Judgment
生,1107,life:genuine:birth,,student,Human_activities,Culture
成,1108,turn into:become:get:grow:elapse:reach,丿戈,,,
西,1109,west:Spain,,West,Directions_and_Spatial_Relationships,
声,1110,voice,士尸,voice,Human_activities,Language_and_Communication
制,1111,system:law:rule,丿二巾牛刂,,,
姓,1112,surname,女生,,,
征,1113,subjugate:attack the rebellious:collect taxes,彳止,conquer,Human_activities,War
性,1114,sex:gender:nature,生忄,,,
青,1115,blue:green,二亠土月,blue,Physical_Attributes_and_Properties,Colours
斉,1116,adjusted:alike:equal:similar variety of,｜丿廾文,,,
政,1117,politics:government,攴止,,,
星,1118,star:spot:dot:mark,日生,star,Nature,Sky
牲,1119,animal sacrifice:offering,牛生,,,
省,1120,focus:government ministry:conserve,丿小目,,,
凄,1121,uncanny:weird:threatening:horrible,冫十女彐,,,
逝,1122,departed:die,斤扌辶,,,
清,1123,pure:purify:cleanse:exorcise:Manchu dynasty,二亠土月青氵,,,
盛,1124,boom:prosper:copulate,丿戈皿,,,
婿,1125,bridegroom:son-in-law,女月疋,"son-in-law, bridegroom",People,Family
晴,1126,clear up,二亠土日月青,clear or fine weather,Nature,Weather
勢,1127,forces:energy:military strength,丶儿力土九,,,
聖,1128,holy:saint:sage:master:priest,口玉耳,sacred,Human_activities,Religion_and_the_Supernatural_World
誠,1129,sincerity:admonish:warn:prohibit:truth:fidelity,丿戈言,,,
精,1130,refined:ghost:fairy:energy:vitality:semen:excellence:purity:skill,二亠土月米青,sperm,Body,Bodily_Functions
製,1131,made in...:manufacture,巾牛衣刂,,,
誓,1132,vow:swear:pledge,斤言扌,,,
静,1133,quiet,亅亠勹土彐月青,quiet,Emotions_and_Senses,Senses
請,1134,solicit:invite:ask,二亠土月言青,,,
整,1135,organize:arranging:tune:tone:meter:key (music),｜口攴木止,,,
醒,1136,awake:be disillusioned:sober up,日生酉,,,
税,1137,tax:duty,儿口禾丷,tax,Human_activities,Money_and_Commerce
夕,1138,evening,,evening,Time,Divisions_of_the_Day
斥,1139,reject:retreat:recede:withdraw:repel:repulse,丶斤,,,
石,1140,stone,口,stone,Nature,Natural_Substances
赤,1141,red,土,red,Physical_Attributes_and_Properties,Colours
昔,1142,once upon a time:antiquity:old times,｜二日,antiquity,Time,
析,1143,chop:divide:tear:analyze,斤木,,,
席,1144,seat:mat:occasion:place,巾广,,,
脊,1145,stature:height,二月癶个,backbone,Body,Torso_and_organs
隻,1146,vessels:counter for ships:fish:birds:arrows:one of a pair,又隹,counter for ships,Numbers,Counters
惜,1147,pity:be sparing of:frugal:stingy:regret,｜二日忄,regret,Emotions_and_Senses,Emotions
戚,1148,grieve:relatives,丿卜小戈,grief,Emotions_and_Senses,Emotions
責,1149,blame:condemn:censure,亠土貝,,,
跡,1150,tracks:mark:print:impression,亠口止赤足,,,
積,1151,volume:product (x*y):acreage:contents:pile up:stack:load:amass,亠土禾貝,,,
績,1152,exploits:achievements:unreeling cocoons,亠土糸貝,,,
籍,1153,enroll:domiciliary register:membership,｜亠八土日木竹耒,,,
切,1154,cut:cutoff:be sharp,刀匕,,,
折,1155,fold:break:fracture:bend:yield:submit,斤扌,,,
拙,1156,bungling:clumsy:unskillful,｜山扌,,,
窃,1157,stealth:steal:secret:private:hushed,儿刀匕宀穴,,,
接,1158,touch:contact:adjoin:piece together,女立扌,,,
設,1159,establishment:provision:prepare,殳言,,,
雪,1160,snow,彐雨,snow,Nature,Weather
摂,1161,vicarious:surrogate:act in addition to:take in:absorb,冫耳扌,,,
節,1162,node:season:period:occasion:verse:clause:stanza:honor:joint:knuckle:knob:knot:tune:melody,卩竹艮,"tune, melody",Human_activities,Culture
説,1163,opinion:theory:explanation:rumor,儿口言丷,explain,Human_activities,Language_and_Communication
舌,1164,tongue:reed:clapper,口,tongue,Body,Head_and_Neck
絶,1165,discontinue:sever:cut off:abstain:interrupt:suppress:be beyond:without match:peerless:unparalleled,糸色,,,
千,1166,thousand,丿十,"1,000",Numbers,
川,1167,stream:river:river or three-stroke river radical (no. 47),,river,Nature,Land_and_Topography
仙,1168,hermit:wizard:cent,山亻,immortal or sage,Human_activities,Religion_and_the_Supernatural_World
占,1169,fortune-telling:divining:forecasting:occupy:hold:have:get:take,卜口,,,
先,1170,before:ahead:previous:future:precedence,丿儿土,"ahead, previous",Time,
宣,1171,proclaim:say:announce,宀日,proclaim,Human_activities,Language_and_Communication
専,1172,specialty:exclusive:mainly:solely,十寸田,,,
泉,1173,spring:fountain,水白,water spring,Nature,Land_and_Topography
浅,1174,shallow:superficial:frivolous:wretched:shameful,丶丿毛氵,shallow,Physical_Attributes_and_Properties,Miscellaneous_properties
洗,1175,wash:inquire into:probe,丿儿土氵,,,
染,1176,dye:color:paint:stain:print,木九氵,,,
扇,1177,fan:folding fan,冫戸羽,fan,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
栓,1178,plug:bolt:cork:bung:stopper,木玉个,plug or stopper,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
旋,1179,rotation:go around,方疋,,,
船,1180,ship:boat,八口舟,ship,Artificial_Structures_and_Products,Vehicles_and_Machines
戦,1181,war:battle:match,十戈田尚,battle,Human_activities,War
煎,1182,broil:parch:roast:boil,月丷刂灬,"to boil, roast",Food_and_Drink,Cooking
羨,1183,envious:be jealous:covet,欠玉羊丷氵,"envy, jealousy",Emotions_and_Senses,Emotions
腺,1184,gland,月水白,gland,Body,Body_General
詮,1185,discussion:methods called for:selection:result,玉言个,,,
践,1186,tread:step on:trample:practice:carry through,丶丿口毛足,,,
箋,1187,paper:label:letter:composition,戈竹,paper,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
銭,1188,coin:.01 yen:money,丶丿毛金,,,
潜,1189,submerge:conceal:hide:lower (voice):hush,人土日氵,,,
線,1190,line:track,水白糸,line,Physical_Attributes_and_Properties,Form_and_Shape
遷,1191,transition:move:change,大己襾辶,,,
選,1192,elect:select:choose:prefer,｜二八己辶,,,
薦,1193,recommend:mat:advise:encourage:offer,广艹灬,,,
繊,1194,slender:fine:thin kimono,土戈糸赤,,,
鮮,1195,fresh:vivid:clear:brilliant:Korea,玉田羊魚丷灬,,,
全,1196,whole:entire:all:complete:fulfill,八玉,,,
前,1197,in front:before,月丷刂,before,Time,
善,1198,virtuous:good:goodness,口玉羊丷,good,Emotions_and_Senses,Judgment
然,1199,sort of thing:so:if so:in that case:well,夕犬灬,,,
禅,1200,Zen:silent meditation,十田尚礻,Zen,Human_activities,Religion_and_the_Supernatural_World
漸,1201,steadily:gradually advancing:finally:barely,斤車氵,,,
膳,1202,small low table:tray,口月玉羊丷,tray or small table,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
繕,1203,darning:repair:mend:trim:tidy up:adjust,口玉糸羊丷,,,
狙,1204,aim at:sight:shadow:stalk,｜目犭,,,
阻,1205,thwart:separate from:prevent:obstruct:deter:impede,｜目阝.,,,
祖,1206,ancestor:pioneer:founder,｜目礻,ancestor,People,Family
租,1207,tariff:crop tax:borrowing,｜目禾,tax,Human_activities,Money_and_Commerce
素,1208,elementary:principle:naked:uncovered,亠土糸,,,
措,1209,set aside:give up:suspend:discontinue:lay aside:except,｜二日扌,,,
粗,1210,coarse:rough:rugged,｜目米,,,
組,1211,association:braid:plait:construct:assemble:unite:cooperate:grapple,｜目糸,"association, assemble",People,Groups
疎,1212,alienate:rough:neglect:shun:sparse:penetrate,｜口木止疋,,,
訴,1213,accusation:sue:complain of pain:appeal to,丶斤言,,,
塑,1214,model:molding,土屮月丷,,,
遡,1215,go upstream:retrace the past,屮月丷辶,,,
礎,1216,cornerstone:foundation stone,口木疋石,,,
双,1217,pair:set:comparison:counter for pairs,丶又,pair,Numbers,Counting_&_Sequence
壮,1218,robust:manhood:prosperity,士爿,,,
早,1219,early:fast,十日,early,Time,
争,1220,contend:dispute:argue,亅勹彐,,,
走,1221,run,土,run,Body,Actions
奏,1222,play music:speak to a ruler:complete,｜丿二大禾,,,
相,1223,inter-:mutual:together:each other:minister of state:councillor:aspect:phase:physiognomy,木目,,,
荘,1224,villa:inn:cottage:feudal manor:solemn:dignified,士爿艹,villa,Artificial_Structures_and_Products,Cities
草,1225,grass:weeds:herbs:pasture:write:draft,十日艹,grass,Nature,Plants_and_Trees
送,1226,escort:send,大丷辶,,,
